Sun Jan  9 16:40:04 2022    Face_Detector/Viola_and_jones/output.dat

         1207220 function calls (1206955 primitive calls) in 11.619 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 D:\Anaconda\envs\pattern\lib\multiprocessing\context.py:70(RLock)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:986(_find_and_load)
       72    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:1281(<lambda>)
       24    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\multiarray.py:75(empty_like)
        1    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\multiprocessing\synchronize.py:360(Barrier)
       12    0.000    0.000    0.002    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\_methods.py:41(_amin)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x000001F4E0C7F040}
       20    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\threading.py:270(wait)
        1    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\threading.py:540(wait)
        2    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\threading.py:222(__init__)
        8    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\random.py:250(_randbelow_with_getrandbits)
       12    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\lib\index_tricks.py:727(__getitem__)
        1    0.000    0.000    0.001    0.001 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:91(__init__)
        1    0.000    0.000    0.001    0.001 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\_monitor.py:29(__init__)
       12    0.000    0.000    0.001    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\_methods.py:37(_amax)
